ID,Name,Acronym,Category,Subcategory,Phone (raw),Phone (normalized),Phone (display),Email,Website,Address,Tags,Priority,Verified,Description,Source Note,PII Pass Notes,Created At,Updated At
cms8ta9dv000domm1fd6pl39p,National Center for Missing & Exploited Children,NCMEC,,,1-800-THE-LOST / 1-800-843-5678,8008435678,(800) 843-5678,gethelp@ncmec.org,https://missingkids.org,,"missing children, family abduction, parental kidnapping, interstate custody, legal technical assistance, NCMEC, THE-LOST",0,true,"National clearinghouse and 24/7 reporting line for missing and exploited children. Family Abduction legal technical assistance available — assistance for wrongful taking, retention, or concealment of a child by a parent or family member that deprives another person of custody or visitation. The single most specific prior instruction: call NCMEC and explicitly request “Family Abduction legal technical assistance.”","On July 19, 2026, specifically instructed to request “Family Abduction legal technical assistance” and have them examine the original Arizona-to-Washington removal and subsequent retention, not merely report the child as generically missing.","Phone normalized: ""1-800-THE-LOST / 1-800-843-5678"" → 8008435678 | Website normalized: ""missingkids.org"" → https://missingkids.org",2026-07-31T10:40:32.515Z,2026-07-31T10:40:32.515Z
cms8ta9ef000yomm12bhv6n8r,Tempe Police Non-Emergency Line,,,,480-350-8311,4803508311,(480) 350-8311,,https://www.tempe.gov,,"Tempe Police, non-emergency, police",0,true,Tempe Police Department non-emergency line. This is not a dedicated custody-enforcement service.,Live-verified 2026-08-03 via the City of Tempe police contact page: 480-350-8311.,"Phone normalized: ""480-350-8311"" → 4803508311",2026-07-31T10:40:32.536Z,2026-08-03T09:16:04.317Z
cms8ta9e2000jomm13p5825n7,The Committee for Missing Children,,,,,,,,https://www.findthekids.org,,"missing children, parental kidnapping, custodial interference",0,true,Included in the parental-kidnapping and custodial-interference resource set.,Previously included in the parental-kidnapping and custodial-interference resource set.,no changes,2026-07-31T10:40:32.522Z,2026-07-31T10:40:32.522Z
cms8ta9e8000qomm1660n0549,"U.S. Department of Justice, Child Exploitation and Obscenity Section",CEOS,,,202-514-5780,2025145780,(202) 514-5780,,https://www.justice.gov/criminal/criminal-ceos/contact-child-exploitation-and-obscenity-section,,"DOJ, CEOS, child exploitation, obscenity",0,true,DOJ section prosecuting child exploitation and obscenity crimes.,"Phone normalized: ""202-514-5780"" → 2025145780 | Website normalized: ""justice.gov"" → https://www.justice.gov/criminal/criminal-ceos/contact-child-exploitation-and-obscenity-section","Phone normalized: ""202-514-5780"" → 2025145780 | Website normalized: ""justice.gov"" → https://www.justice.gov/criminal/criminal-ceos/contact-child-exploitation-and-obscenity-section",2026-07-31T10:40:32.529Z,2026-07-31T10:40:32.529Z
cms8ta9e5000oomm128rle2dd,"U.S. Department of State, Office of Children’s Issues",,,,202-736-9090,2027369090,(202) 736-9090,,https://travel.state.gov,,"Department of State, Office of Children's Issues, international abduction, Hague Convention",0,true,"Federal office handling international parental child abduction, Hague Convention applications, and custody/visitation issues across borders.","Phone normalized: ""202-736-9090"" → 2027369090 | Website normalized: ""travel.gov"" → https://travel.state.gov","Phone normalized: ""202-736-9090"" → 2027369090 | Website normalized: ""travel.gov"" → https://travel.state.gov",2026-07-31T10:40:32.525Z,2026-07-31T10:40:32.525Z
cms8taa0x00p1omm1d8ml1dnb,Modest Needs Foundation – Independent Living Grant,,GRANTS,INDEPENDENT_LIVING,,,,,https://www.modestneeds.org/about-us/grants-types-independent-living.asp,,"Modest Needs, Independent Living Grant, disability, accessibility equipment, medical expense, utility shutoff, transportation",0,true,"Fixed maximum grant of $750 for qualifying households that do not meet Modest Needs’ self-sufficiency standard and include a person permanently unable to work. Eligible uses are medically necessary accessibility equipment or uncovered medical expenses, an unusually high utility bill needed to prevent shutoff for home medical equipment, or an auto repair needed to reach chronic-care appointments. Regular rent and utility bills are excluded except for the specified imminent-shutoff circumstance.","Official Modest Needs Independent Living Grant page, live verified 2026-08-03: https://www.modestneeds.org/about-us/grants-types-independent-living.asp. Corrected the prior generic '$750' record, which conflated this disability-focused program with the separate Self-Sufficiency Grant.","Name corrected: ""$750"" → ""Modest Needs Foundation – Independent Living Grant"" | Program scope corrected from generic emergency expenses to the official Independent Living Grant criteria | Direct official program URL added",2026-07-31T10:40:33.346Z,2026-08-03T08:05:00.000Z
cms8ta9lw009romm1yzth44h8,1in6,,,,651-714-4673,6517144673,(651) 714-4673,1in6@zeroabuseproject.org,https://1in6.org,"366 Jackson Street, Suite 300, St. Paul, MN 55101","1in6, Zero Abuse Project, men, male survivors, sexual abuse, sexual assault",0,true,"A Zero Abuse Project program providing information, confidential online support groups, and resources for men who have experienced sexual abuse or assault.",Live-verified 2026-08-03 via the official 1in6 contact page. The prior 877-628-1466 number is not listed on the current official site.,"Phone corrected: ""877-628-1466"" → 6517144673 | Current email and headquarters added.",2026-07-31T10:40:32.804Z,2026-08-03T09:16:04.317Z
cms8ta9w000jxomm132833c63,2Gether-International – Disabled Founder Accelerator,,DISABILITY_FOUNDER_ACCELERATOR,,,,,,https://www.2gether-international.org,,"2Gether-International, disabled founders, startup accelerator, mentorship",0,true,"Startup accelerator run by and for entrepreneurs with disabilities, offering founder cohorts, mentorship, peer community, business education, and cohort-specific funding opportunities.",Live-verified 2026-08-03: https://www.2gether-international.org | Removed the unsupported claim that funding could be used for an RV. Award amounts and eligibility vary by cohort.,Program type corrected from a general grant to a disabled-founder accelerator; unsupported RV-use claim removed.,2026-07-31T10:40:33.168Z,2026-08-03T09:16:04.317Z
cms8ta9qw00e9omm1unw3sg1j,A New Leaf (DV Hotline),,BEHAVIORAL_MEDICAL,,480-890-3039,4808903039,(480) 890-3039,,https://turnanewleaf.org/services/sexual-and-domestic-violence-services/,,"final_help_list, behavioral_medical, must_get",0,true,"Domestic-violence hotline and services including emergency shelter, safety planning, advocacy, and housing support. Assistance and eligibility depend on the applicable program.",Live-verified 2026-08-03 via A New Leaf's official domestic-violence services page. Removed the unverified fixed claim of 3–6 months of rent.,Unsupported fixed rental-assistance duration removed; official service page used.,2026-07-31T10:40:32.985Z,2026-08-03T09:16:04.317Z
cms8ta9z300ngomm1jbgvkt44,AZ&Me,,MEDICAL SUPPORT,,1-800-292-6363,8002926363,(800) 292-6363,,https://www.azandmeapp.com,,"master_extract, medical support",0,true,AstraZeneca prescription-savings program that may provide eligible medicines at no cost to qualifying patients in the United States.,Live-verified 2026-08-03: https://www.azandmeapp.com | Program phone 1-800-292-6363.,Official program phone added; Arizona-only wording removed.,2026-07-31T10:40:33.279Z,2026-08-03T09:16:04.317Z
cms8ta9tm00hdomm1ksicds9i,"AZCEND (Chandler, AZ) Emergency Financial Assistance",,CSV_RESOURCE,,480-963-1423,4809631423,(480) 963-1423,,https://azcend.org,,"master_extract, csv_resource",0,true,"Rent, utility, medical, transportation aid for Chandler/southeast Valley; must meet income criteria, apply. Main phone for benefits assistance.",From master_resource_extract.txt (RI-00119): Grants:Mutual_Aid:Orgs.txt [Record ID: 119] | Validation: URL verified live; phone verified live 2026-08-03 → 480-963-1423,"Website normalized: ""https://azcend.org/"" → https://azcend.org | Phone normalized: ""480-963-1423"" → 4809631423",2026-07-31T10:40:33.083Z,2026-07-31T10:40:33.083Z
cms8ta9l8008oomm17xn60r16,Ability360,,,,602-296-0536,6022960536,(602) 296-0536,info@ability360.org,https://ability360.org,"5025 E Washington St, Suite 200, Phoenix, AZ 85034","Ability360, Arizona, independent living",0,true,"Phoenix-based center for independent living providing disability-related programs, advocacy, information, and support.",Live-verified 2026-08-03 via Ability360's official website and contact information.,"Official main phone, email, and address added.",2026-07-31T10:40:32.780Z,2026-08-03T09:16:04.317Z
cms8ta9r200ejomm12p46epct,Accessia Health,,,MEDICAL SUPPORT,800-366-7741,8003667741,(800) 366-7741,assistance@accessiahealth.org,https://accessiahealth.org,"PO Box 5930, Midlothian, VA 23112","final_help_list, medical support, must_get",0,true,Nonprofit patient-assistance organization offering disease-specific financial assistance and health-insurance navigation for eligible patients.,"Live-verified 2026-08-03: https://accessiahealth.org | Assistance line, document-submission email, and mailing address confirmed.",Duplicated URL text removed; official contact information added.,2026-07-31T10:40:32.991Z,2026-08-03T09:16:04.317Z
cms8ta9vq00jgomm1kml1w50q,Adelante Healthcare,,,BEHAVIORAL_MEDICAL,480-964-2273,4809642273,(480) 964-2273,,https://adelantehealthcare.com,,"master_extract, behavioral_medical",0,true,"Arizona community health center providing primary care, dental care, behavioral health, women's health, pediatrics, and related services. Call the main scheduling line for appointments.",Live-verified 2026-08-03: https://adelantehealthcare.com | Main scheduling phone 480-964-2273.,"Phone corrected: ""877-809-5092"" → 4809642273 | Generic one-word description replaced.",2026-07-31T10:40:33.158Z,2026-08-03T09:16:04.317Z
cms8ta9vn00jaomm1wq1nu5sp,Alcoholics Anonymous - Phoenix Intergroup,,,BEHAVIORAL_MEDICAL,602-264-1341,6022641341,(602) 264-1341,info@sriphoenix.org,https://aaphoenix.org,"3215 E Thunderbird Rd, Suite B, Phoenix, AZ 85032","master_extract, behavioral_medical",0,true,Phoenix-area Alcoholics Anonymous intergroup and 24-hour help line.,"Live-verified 2026-08-03: https://aaphoenix.org | Phone, email, and office address confirmed.","Official domain, email, and address confirmed.",2026-07-31T10:40:33.156Z,2026-08-03T09:16:04.317Z
cms8ta9ri00f7omm1pd4hvz1a,Angel Flight West,,,MEDICAL SUPPORT,310-390-2958,3103902958,(310) 390-2958,coordination@angelflightwest.org,https://angelflightwest.org,,"final_help_list, medical support, must_get",0,true,"Arranges free, non-emergency air transportation for people traveling to medical care within its service area. Flight requests are subject to eligibility, route, timing, and volunteer availability.",Live-verified 2026-08-03: https://angelflightwest.org/request-a-flight/ | Mission-operations phone and email confirmed.,Corrupted name and repeated description removed; official mission contact added.,2026-07-31T10:40:33.007Z,2026-08-03T09:16:04.317Z
cms8ta9l7008nomm1ioyeegkl,Arizona Statewide Independent Living Council – CIL Directory,AZSILC,,,602-262-2900,6022622900,(602) 262-2900,,https://azsilc.org,"10720 W Indian School Rd, Suite 19 #1006, Phoenix, AZ 85037","AZSILC, Arizona, centers for independent living, CIL directory",0,true,Statewide council and directory for Arizona Centers for Independent Living. AZSILC does not itself provide direct independent-living services; use its directory to locate a regional CIL.,Live-verified 2026-08-03: https://azsilc.org | Corrected category-style entry to the named directory and clarified that AZSILC is not a direct-service provider.,"Named directory, phone, and mailing address added; direct-service limitation stated.",2026-07-31T10:40:32.779Z,2026-08-03T09:16:04.317Z
cms8ta9tn00hfomm165yo14xo,Arizona End of Life Care Partnership,,,CSV_RESOURCE,,,,,https://azendoflifecare.org,,"master_extract, csv_resource",0,true,"Statewide partnership focused on advance-care planning, serious-illness care, end-of-life education, and systems improvement. It is not a direct cash-grant program.",Live-verified 2026-08-03: https://azendoflifecare.org | Removed unsupported claims of grants for terminal patients and referral requirements.,False direct-grant description removed.,2026-07-31T10:40:33.084Z,2026-08-03T09:16:04.317Z
cms8ta9yu00n4omm11nmf2x0p,Arizona Long Term Care System,ALTCS,MEDICAID_LONG_TERM_CARE,GRANTS,888-621-6880,8886216880,(888) 621-6880,altcsregistrations@azahcccs.gov,https://www.azahcccs.gov/members/ALTCSlocations.html,,"master_extract, grants",0,true,"Arizona Medicaid program for people who are aged, blind, have a disability, or require nursing-facility-level care and who meet financial and medical eligibility requirements.",Live-verified 2026-08-03 via AHCCCS. Phone 888-621-6880 and ALTCS registration email retained.,Truncated name corrected; category and official ALTCS page added.,2026-07-31T10:40:33.271Z,2026-08-03T09:16:04.317Z
cms8ta9lx009tomm12zij1liy,Arizona SHIP / Arizona State Health Insurance Assistance Program,SHIP,,,800-432-4040,8004324040,(800) 432-4040,,https://azship.org,,"Arizona SHIP, health insurance, Medicare counseling",0,true,Arizona State Health Insurance Assistance Program providing free Medicare counseling.,Verified live via official SHIP contact database.,"Phone normalized: ""800-432-4040"" → 8004324040",2026-07-31T10:40:32.806Z,2026-07-31T10:40:32.806Z
cms8ta9sq00g3omm13b3jmyio,Bazelon Center for Mental Health Law,,,,,,,requests-for-help@bazelon.org,https://www.bazelon.org,,"Bazelon Center, mental health law, legal advocacy",0,true,National legal-advocacy center for people with mental disabilities. Legal assistance is requested via email.,Verified live. Duplicate entry with `cms8ta9l5008jomm1i15ylvh1` combined.,no changes,2026-07-31T10:40:32.763Z,2026-07-31T10:40:32.763Z
cms8ta9z500njomm1bdwo1501,CALQUENCE™ Cares (AstraZeneca Access 360),,,,1-844-ASK-A360 / 1-844-275-2360,8442752360,(844) 275-2360,,https://www.calquence.com,,"CALQUENCE, AstraZeneca, co-pay savings, patient assistance",0,true,Co-pay savings and patient assistance for eligible CLL/SLL patients via AstraZeneca Access 360. This is the direct patient support program for CALQUENCE.,Verified live. Patient assistance inquiries are routed through the AstraZeneca Access 360 program.,"Phone normalized: ""1-844-ASK-A360 / 1-844-275-2360"" → 8442752360",2026-07-31T10:40:33.282Z,2026-07-31T10:40:33.282Z
cms8ta9lm009aomm10h64mwj1,COVID-19 Longhauler Advocacy Project,C19LAP,,,,,,,https://www.longhauler-advocacy.org,,"C19LAP, Long COVID, longhauler, advocacy",0,true,Advocacy project for COVID-19 longhaulers.,Verified live via official website.,no changes,2026-07-31T10:40:32.794Z,2026-07-31T10:40:32.794Z
cms8ta9lr009jomm1b44ok7z7,CPTSD Foundation,,,,,,,,https://cptsdfoundation.org,,"CPTSD Foundation, complex PTSD",0,true,Foundation providing education and support for complex PTSD.,Verified live via official website.,no changes,2026-07-31T10:40:32.799Z,2026-07-31T10:40:32.799Z
cms8ta9t200gjomm1ialyf46d,Circle the City (Mobile Medical Units & Street Medicine),,,,602-516-6825,6025166825,(602) 516-6825,,https://circlethecity.org,,"Circle the City, Phoenix, mobile medical, street medicine, homeless, outreach",0,true,"Mobile medical and transport support for homeless in Phoenix area, offers healthcare and case management. Mobile medical units visit encampments and RVs.",Verified live. Duplicate entry with `cms8ta9wi00kmomm1zbrsw81y` combined.,"Phone normalized: ""602-516-6825"" → 6025166825",2026-07-31T10:40:33.062Z,2026-07-31T10:40:33.062Z
cms8ta9vl00j4omm1cvvsycmf,"Community Bridges, Inc. (CBI)",,,,877-931-9142,8779319142,(877) 931-9142,,https://communitybridgesinc.org,,"Community Bridges, CBI, behavioral health, crisis line",0,true,Arizona-based integrated behavioral health provider since 1982. Crisis line available 24/7. (Note: communitybridgesaz.org also redirects to the official site).,Verified live. Final authoritative website is communitybridgesinc.org.,"Phone normalized: ""877-931-9142"" → 8779319142",2026-07-31T10:40:33.153Z,2026-07-31T10:40:33.153Z
cms8ta9l3008homm10sgy3wfv,Disability Rights Education and Defense Fund,DREDF,,,,,,,https://dredf.org,,"DREDF, disability rights, education, defense",0,true,"National civil‑rights law and policy center for people with disabilities. Bolstered contacts: PTI (iephelp@dredf.org, 1-800-348-4232), Media (media@dredf.org, 510-225-7726), Development (sfreundlich@dredf.org, ext 5246).",Human‑verified; specialized contacts added.,"Website normalized: ""dredf.org"" → https://dredf.org",2026-07-31T10:40:32.776Z,2026-08-03T08:35:38.506Z
cms8taa0000oqomm19w8hcq04,Dignity Health THRIVE Program,,,MEDICAL SUPPORT,,,,,https://www.dignityhealth.org/arizona/locations/stjosephs/services/emergency-and-trauma-services/prevention-programs/thrive-program,,"master_extract, medical support",0,true,"Hospital‑based violence intervention program (HVIP) at St. Joseph's Hospital, Phoenix. Provides crisis counseling, safety planning, case management (housing, legal aid, job training), mentoring, and support groups for survivors of violence. FORENSIC ACCESS NOTE: The direct URL can redirect to a generic emergency services page depending on browser, session, or referrer. No public phone/email is published. The ONLY reliable contact method is to ask any doctor, nurse, or hospital staff at St. Joseph's to connect you to the THRIVE team.",Human‑verified; page exists but URL access is unstable. Staff referral is the primary reliable contact pathway. Generic CommonSpirit resource link removed.,normalized,2026-07-31T10:40:33.312Z,2026-08-03T08:35:38.506Z
cms8ta9l2008fomm1uunvk4qa,Disability Rights Advocates,DRA,,,,,,,https://dralegal.org,"Physical (eff. July 1, 2026): 2120 University Ave., Office 403, Berkeley, CA 94704. Mailing: 455 Market St., Ste 1940, PMB 509115, San Francisco, CA 94105. NYC: 655 Third Ave, Ste 2619, NY 10017. Chicago: 222 S Riverside Plaza, WeWork 15‑112, IL 60606.","DRA, Disability Rights Advocates, civil rights",0,true,Nonprofit legal center advancing civil rights for people with disabilities. Press inquiries: communications@dralegal.org.,Human‑verified; address overwritten to July 2026 location; other offices added.,"Website normalized: ""dralegal.org"" → https://dralegal.org",2026-07-31T10:40:32.775Z,2026-08-03T08:35:38.506Z
cms8ta9l1008domm1bh9mpct7,Disability Rights Arizona,DRAZ,,,602-274-6287; 520-327-9547,6022746287|5203279547,(602) 274-6287 | (520) 327-9547,center@disabilityrightsaz.org,https://disabilityrightsaz.org,"Phoenix: 5025 E. Washington St., Suite 202, Phoenix, AZ 85034. Tucson: 4539 E. Ft Lowell Rd, Tucson, AZ 85712.","Disability Rights Arizona, P&A",0,true,Arizona's federally mandated protection and advocacy organization for people with disabilities. Formerly named the Arizona Center for Disability Law.,Live-verified 2026-08-03: https://disabilityrightsaz.org | Former ACDL record merged into this current organization record.,Former-name duplicate merged; current organization identity retained.,2026-07-31T10:40:32.774Z,2026-08-03T09:16:04.317Z
cms8ta9l6008lomm1r54czmdn,Disability Rights California,DRC,,,1-800-776-5746,8007765746,(800) 776-5746,,https://disabilityrightsca.org,,"DRC, Disability Rights California",0,true,California protection and advocacy system. Intake line.,Forensic verification; phone added.,"Website normalized: ""disabilityrightsca.org"" → https://disabilityrightsca.org",2026-07-31T10:40:32.778Z,2026-08-03T08:35:38.506Z
cms8ta9sz00gfomm15t6qdfp3,Disability-Owned Business Enterprise Certification,DOBE,,CSV_RESOURCE,,,,,https://disabilityin.org/learning-and-development/supplier-development,,"Disability:IN, DOBE, disability-owned business, supplier diversity, certification",0,true,Disability:IN certification for qualifying disability-owned businesses. Certification can support supplier-diversity and contracting opportunities; it is not itself a grant.,Live-verified 2026-08-03 via Disability:IN's supplier-development program page.,Specific official program page added; unsupported grant-access claim removed.,2026-07-31T10:40:33.059Z,2026-08-03T09:16:04.317Z
cms8ta9zo00oaomm1uq343evk,ELAINE,,,TRANSPORTATION,602-848-1717,6028481717,(602) 848-1717,elainerides@elaineaz.org,https://elaineaz.org,"1075 W Jackson St, Phoenix, AZ 85007","master_extract, transportation",0,true,"Arizona nonprofit providing free, empathetic transportation for qualifying medical appointments and prescription needs. Contact ELAINE directly for current eligibility and scheduling.","Live-verified 2026-08-03: https://elaineaz.org | Direct phone, ride email, and address confirmed.",Truncated name corrected; direct public contact information added.,2026-07-31T10:40:33.301Z,2026-08-03T09:16:04.317Z
cms8ta9ra00etomm1gbi3iuzm,FamilyWize / SingleCare Prescription Discount Program,,,MEDICAL SUPPORT,844-234-3057,8442343057,(844) 234-3057,,https://familywize.org,,"final_help_list, medical support, must_get",0,true,Free prescription-discount program now supported through SingleCare. Discounts vary by medication and pharmacy and are not insurance.,Live-verified 2026-08-03: https://familywize.org | Current member-support phone 844-234-3057.,"Phone corrected: ""800-222-2818"" → 8442343057 | Unsupported fixed average-savings claim removed.",2026-07-31T10:40:32.998Z,2026-08-03T09:16:04.317Z
cms8ta9ld008yomm1b8oa54dr,Fireweed Collective,,,,,,,,https://fireweedcollective.org,,"Fireweed Collective, mental health, mutual aid",0,true,"Collective offering mental-health education and mutual aid through a Healing Justice and Disability Justice lens, centering QTBIPOC communities.",Live-verified 2026-08-03: https://fireweedcollective.org | Duplicate record removed.,Duplicate consolidated into one current record.,2026-07-31T10:40:32.786Z,2026-08-03T09:16:04.317Z
